model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.9596463858554343,0.8691813804173355,0.6385613207547169,0.7362338545207342,0.959895605788
RandomForest,0.9692147685907436,0.9495114006514658,0.6875,0.7975376196990424,0.9593688159231338
GradientBoosting,0.9720228809152366,0.9865546218487395,0.6922169811320755,0.8135828135828136,0.9778922782905879
